Age,Treatment,Dosage
25,Primaquine,Primaquine 40 mg daily x 14 days
26,Primaquine,Primaquine 45 mg daily x 14 days
27,Primaquine,Primaquine 50 mg daily x 14 days
20,Tinidazole,2.0 g single oral dose
21,Tinidazole,2.1 g single oral dose
22,Tinidazole,2.2 g single oral dose
23,Tinidazole,2.3 g single oral dose
24,Tinidazole,2.4 g single oral dose
25,Tinidazole,2.5 g single oral dose
26,Tinidazole,2.6 g single oral dose
27,Tinidazole,2.7 g single oral dose
